EmployeeID,Age,Gender,Department,JobRole,EducationLevel,MaritalStatus,Location,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,PerformanceRating,WorkLifeBalance,JobSatisfaction,TrainingTimesLastYear,OverTime,Attrition,HireDate,LastWorkingDate
1,49,Male,Finance,Manager,Masters,Married,Bangalore,123694,10,7,4,4,3,2,2,Yes,No,2021-10-24,
2,56,Female,IT,Engineer,PhD,Married,Delhi,36023,2,5,4,1,2,4,5,Yes,No,2019-04-08,
3,53,Female,Finance,Executive,High School,Divorced,Pune,105305,11,8,0,3,3,3,9,Yes,No,2015-09-07,
4,35,Male,Sales,Specialist,PhD,Single,Pune,85725,14,13,2,1,4,3,3,No,No,2022-06-08,
5,27,Other,Marketing,Manager,PhD,Married,Pune,107313,3,8,1,1,2,1,9,Yes,Yes,2023-04-04,2023-04-27
6,27,Male,Sales,Executive,Bachelors,Divorced,Hyderabad,68555,7,14,2,1,2,1,3,Yes,No,2022-12-14,
7,26,Female,HR,Engineer,Masters,Divorced,Mumbai,98953,3,5,1,1,2,4,1,No,No,2022-01-04,
8,51,Other,Marketing,Specialist,Bachelors,Divorced,Bangalore,31534,7,13,6,4,4,1,7,No,No,2019-07-04,
9,44,Male,HR,Executive,High School,Single,Chennai,32185,12,8,0,4,1,3,8,No,No,2012-08-12,
10,44,Female,HR,Specialist,High School,Divorced,Mumbai,199262,10,2,0,1,4,3,2,No,Yes,2012-11-17,2020-10-18
11,59,Other,Operations,Manager,High School,Divorced,Bangalore,84505,8,11,6,3,1,4,1,Yes,Yes,2020-12-23,2023-11-11
12,44,Other,Finance,Specialist,Masters,Divorced,Mumbai,143684,2,11,7,3,2,3,2,No,No,2020-12-28,
13,34,Female,Finance,Associate,Bachelors,Divorced,Delhi,178338,0,4,9,1,3,3,6,Yes,Yes,2018-09-14,2020-05-19
14,46,Female,HR,Engineer,Masters,Single,Chennai,142409,12,2,6,4,1,4,3,No,No,2023-11-30,
15,35,Male,IT,Engineer,High School,Married,Delhi,184899,12,6,2,4,2,4,1,No,No,2010-09-14,
16,26,Other,R&D,Manager,High School,Married,Bangalore,115259,11,11,3,2,2,2,9,Yes,No,2023-02-05,
17,53,Female,Sales,Analyst,PhD,Single,Hyderabad,181152,19,12,8,3,3,3,5,No,No,2011-09-08,
18,57,Male,Marketing,Engineer,PhD,Single,Delhi,33545,11,7,5,4,4,4,7,No,No,2010-03-17,
19,32,Male,Operations,Specialist,Masters,Single,Chennai,72733,6,1,2,1,1,1,0,No,No,2021-05-17,
20,22,Male,Sales,Analyst,PhD,Divorced,Pune,132859,4,0,0,5,3,2,1,No,No,2018-06-23,
21,26,Other,Marketing,Specialist,Bachelors,Married,Hyderabad,90467,10,7,0,4,3,2,7,No,No,2020-09-03,
22,42,Other,Operations,Manager,PhD,Married,Hyderabad,54698,15,0,8,5,4,3,5,No,No,2020-01-17,
23,56,Other,Operations,Manager,PhD,Married,Chennai,144249,2,14,2,3,4,4,6,Yes,No,2012-11-20,
24,59,Male,R&D,Analyst,Bachelors,Divorced,Chennai,120689,7,0,8,2,1,2,6,No,No,2012-09-04,
25,27,Other,Sales,Executive,Masters,Single,Chennai,66843,15,9,8,3,4,4,0,Yes,No,2017-11-21,
26,32,Other,IT,Analyst,PhD,Divorced,Delhi,40932,4,10,6,4,1,1,2,No,Yes,2017-05-03,2020-05-04
27,40,Female,IT,Analyst,Masters,Married,Hyderabad,26295,0,7,3,4,3,1,7,No,No,2014-11-28,
28,55,Male,Operations,Associate,Masters,Married,Hyderabad,146063,2,8,1,1,4,2,1,No,No,2013-01-07,
29,56,Female,Sales,Engineer,PhD,Married,Delhi,110272,3,0,4,1,4,4,7,No,No,2017-07-07,
30,37,Other,Finance,Engineer,High School,Married,Delhi,90271,0,11,2,4,2,3,5,Yes,No,2022-09-06,
31,28,Female,R&D,Manager,Bachelors,Married,Delhi,170810,1,4,0,2,4,3,0,Yes,No,2018-02-21,
32,39,Other,Sales,Associate,Bachelors,Married,Hyderabad,122946,16,0,4,2,2,3,8,No,No,2023-09-23,
33,51,Other,R&D,Analyst,PhD,Divorced,Delhi,144019,0,2,1,4,1,2,5,No,No,2021-09-25,
34,44,Other,Sales,Executive,PhD,Married,Pune,92991,14,5,6,2,2,3,9,No,No,2023-09-08,
35,53,Other,Finance,Specialist,PhD,Divorced,Pune,125864,10,5,6,3,1,2,6,No,No,2014-01-06,
36,44,Other,Finance,Specialist,Masters,Single,Bangalore,159788,6,8,3,4,1,4,0,Yes,No,2010-10-22,
37,34,Male,IT,Analyst,PhD,Divorced,Pune,107922,14,11,1,3,2,4,6,No,No,2012-03-18,
38,42,Male,Finance,Executive,High School,Single,Delhi,75609,16,3,9,3,2,3,5,No,No,2022-12-27,
39,28,Male,Sales,Specialist,High School,Married,Mumbai,170580,11,11,4,3,3,4,5,Yes,No,2023-11-07,
40,55,Male,IT,Specialist,Bachelors,Single,Delhi,190806,7,3,1,3,4,2,2,No,No,2016-12-07,
41,48,Female,R&D,Engineer,PhD,Single,Bangalore,123481,4,9,4,1,2,3,8,No,No,2011-05-08,
42,21,Male,IT,Executive,PhD,Divorced,Delhi,150798,1,13,5,1,4,1,7,No,Yes,2018-06-19,2022-11-27
43,59,Other,R&D,Specialist,Bachelors,Married,Pune,49375,4,5,6,4,3,4,9,No,No,2023-01-05,
44,49,Other,HR,Executive,Masters,Divorced,Delhi,29435,4,14,0,3,2,2,3,Yes,No,2016-01-26,
45,46,Female,Sales,Analyst,Masters,Married,Chennai,186319,6,3,0,5,2,2,4,No,Yes,2021-11-26,2023-09-19
46,25,Female,Marketing,Specialist,Masters,Married,Pune,117379,1,3,9,4,2,3,9,No,No,2017-08-31,
47,24,Other,IT,Specialist,Masters,Single,Delhi,47663,15,6,1,1,1,4,3,No,No,2021-04-15,
48,53,Female,Operations,Analyst,PhD,Single,Bangalore,24000,18,10,4,2,4,3,0,No,No,2023-07-05,
49,49,Other,Operations,Specialist,High School,Married,Bangalore,128940,11,14,1,4,1,3,1,No,No,2012-12-22,
50,28,Male,Sales,Associate,Bachelors,Divorced,Chennai,108668,9,9,1,2,3,1,6,Yes,Yes,2020-08-05,2021-11-05
51,31,Other,Sales,Associate,Bachelors,Single,Delhi,151484,3,8,4,2,1,1,3,Yes,No,2011-04-16,
52,55,Female,Operations,Executive,Bachelors,Married,Bangalore,134352,2,3,1,3,1,3,7,No,No,2017-05-03,
53,32,Male,Marketing,Specialist,High School,Divorced,Pune,187280,12,6,8,1,3,1,0,No,No,2010-04-13,
54,45,Female,IT,Engineer,Bachelors,Married,Mumbai,139180,18,0,3,2,4,1,8,No,No,2023-10-14,
55,48,Female,IT,Engineer,PhD,Divorced,Bangalore,71934,19,2,9,3,3,4,4,Yes,No,2010-05-30,
56,41,Female,Sales,Manager,Bachelors,Divorced,Mumbai,138324,15,8,6,4,1,1,9,No,No,2019-09-15,
57,25,Other,R&D,Manager,Masters,Married,Chennai,174786,10,10,1,1,3,4,8,No,No,2018-01-15,
